Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms)
18:15:00.000+02:00,18:30:00.000+02:00,10,46.82636954541934,107.45631980895996,7.0,7,,,,,0.47125647584680663,0.9803162217140198,0.2356720119714737,195,,,,471530
18:30:00.000+02:00,18:45:00.000+02:00,,16.921872272403192,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,4,16.921873612111717,94.77455139160156,,,,,,,0.370585173368454,0.427347332239151,0.31382301449775696,171,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,1,16.921874884657978,26.361133575439453,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,42,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,16.921874884657978,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.921874568172214,31.382301330566406,,,,,,,0.2717079222202301,0.2923574447631836,0.2510583996772766,50,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,2,16.92187397737439,53.34991455078125,,,,,,,0.3482462763786316,0.3826695382595062,0.31382301449775696,85,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.92187397737439,5.021168231964111,,,,,,,0.47415784001350403,0.47415784001350403,0.47415784001350403,20,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.92187397737439,,,,,,,,,,,,,,,
